brand;model;year;mileage_km;engine_volume;engine_hp;n_owners;transmission;body_type;color;price_rub
BMW;7 Series;2013;52354.0;2.2;147.4;4.0;Automatic;Sedan;black;2618871
BMW;3 Series;2017;128171.0;2.4;151.2;3.0;Automatic;Sedan;red;3145946
BMW;X3;2019;165660.0;1.9;121.6;4.0;Automatic;SUV;black;3995771
BMW;5 Series;2010;5000.0;2.9;182.7;4.0;Manual;Sedan;green;2414142
BMW;X5;2015;91544.0;3.1;204.6;4.0;Automatic;SUV;black;3725099
BMW;X7;2012;35857.0;1.5;97.5;4.0;Automatic;SUV;red;2723109
BMW;3 Series;2014;71074.0;1.9;125.4;4.0;Automatic;Sedan;red;2690676
BMW;X5_M;2012;34681.0;3.4;224.4;4.0;Automatic;SUV;green;4072626
BMW;X5_M;2011;18650.0;3.0;195.0;4.0;Automatic;SUV;black;3701160
BMW;7 Series;2013;54062.0;2.4;160.8;4.0;Automatic;Sedan;white;2679969
BMW;7 Series_M;2012;36606.0;2.9;194.3;4.0;Automatic;Sedan;black;3397680
BMW;5 Series_M;2016;107666.0;3.0;201.0;4.0;Automatic;Sedan;blue;4251433
BMW;X5;2017;128222.0;2.0;130.0;3.0;Manual;SUV;blue;3759854
BMW;X3_M;2010;5000.0;3.7;236.8;4.0;Automatic;SUV;red;3548993
BMW;X7_M;2019;159498.0;3.3;221.1;;Automatic;SUV;blue;6091923
BMW;X3;2015;87716.0;2.3;147.2;4.0;Manual;SUV;blue;3510449
BMW;3 Series_M;2019;159876.0;3.5;220.5;4.0;Automatic;Sedan;white;5063875
BMW;X7_M;2021;193982.0;3.3;217.8;2.0;Manual;SUV;green;6685273
BMW;5 Series;2021;190806.0;1.5;99.0;3.0;Manual;Sedan;blue;3457792
BMW;X3;2018;142526.0;2.6;174.2;4.0;Manual;SUV;red;4173915
BMW;5 Series_M;2010;5000.0;3.5;234.5;4.0;Manual;Sedan;green;3159715
BMW;7 Series_M;2018;141279.0;3.2;214.4;3.0;Manual;Sedan;black;4839191
BMW;X7_M;2019;165145.0;3.4;227.8;4.0;Manual;SUV;white;6116651
BMW;X3_M;2015;88899.0;3.3;211.2;4.0;Manual;SUV;red;4872833
BMW;3 Series_M;2017;127204.0;3.5;234.5;4.0;Automatic;Sedan;green;4672829
BMW;3 Series;2010;5000.0;2.7;178.2;4.0;Automatic;Sedan;blue;2383304
BMW;X7_M;2022;213081.0;3.3;214.5;3.0;Automatic;SUV;blue;6928995
BMW;7 Series;2018;151805.0;2.5;160.0;4.0;Automatic;Sedan;black;3182362
BMW;5 Series_M;2022;211026.0;3.2;201.6;2.0;Automatic;Sedan;black;5624782
BMW;3 Series;2016;111131.0;2.6;166.4;4.0;Automatic;Sedan;white;3058898
BMW;7 Series;2018;146531.0;1.4;88.2;4.0;Automatic;Sedan;white;2904207
BMW;7 Series;2010;5000.0;3.0;195.0;4.0;Automatic;Sedan;black;2499895
BMW;X3_M;2014;72403.0;3.1;201.5;4.0;Automatic;SUV;red;4568036
BMW;5 Series_M;2019;170161.0;3.4;227.8;3.0;Manual;Sedan;blue;4939015
BMW;3 Series;2022;214449.0;3.1;204.6;3.0;Manual;Sedan;green;4083615
BMW;5 Series;2014;68836.0;2.5;160.0;4.0;Automatic;Sedan;black;2838072
BMW;X3;2018;137026.0;3.0;189.0;4.0;Manual;SUV;black;4336864
BMW;X3_M;2019;158740.0;2.9;188.5;3.0;Manual;SUV;blue;5924535
BMW;X7_M;2017;127129.0;3.1;204.6;3.0;Automatic;SUV;red;5459929
BMW;3 Series;2018;142627.0;2.7;178.2;4.0;Automatic;Sedan;white;3391430
BMW;7 Series_M;2014;72947.0;3.3;221.1;4.0;Manual;Sedan;red;3954558
BMW;7 Series_M;2015;93591.0;3.2;214.4;4.0;Manual;Sedan;black;4061065
BMW;5 Series_M;2017;127619.0;3.1;204.6;4.0;Automatic;Sedan;black;4470731
BMW;5 Series_M;2018;142706.0;3.0;198.0;3.0;Automatic;Sedan;white;4721692
BMW;X7_M;2022;215263.0;;224.4;2.0;Automatic;SUV;blue;7008915
BMW;5 Series_M;2016;112198.0;3.2;208.0;4.0;Automatic;Sedan;blue;4284312
BMW;7 Series_M;2020;181378.0;3.4;214.2;3.0;Manual;Sedan;red;5133922
BMW;X3;2015;90856.0;3.5;234.5;;Automatic;SUV;white;3934552
BMW;5 Series_M;2019;159974.0;;227.8;4.0;Manual;Sedan;green;5052076
BMW;3 Series_M;2010;5000.0;3.6;241.2;4.0;Manual;Sedan;blue;3142489
BMW;7 Series_M;2015;88705.0;3.5;224.0;4.0;Automatic;Sedan;green;4177235
BMW;3 Series;2016;109936.0;3.2;201.6;4.0;Automatic;Sedan;black;3282134
BMW;7 Series_M;2011;;3.6;230.4;4.0;Manual;Sedan;black;3418405
BMW;7 Series_M;2010;5000.0;3.6;226.8;4.0;Automatic;Sedan;white;3099088
BMW;3 Series_M;2019;161933.0;;234.5;4.0;Manual;Sedan;white;5125875
BMW;X5_M;2020;179385.0;3.3;211.2;2.0;Automatic;SUV;green;6378869
BMW;X5;2013;55121.0;2.4;158.4;4.0;Automatic;SUV;white;3194487
BMW;7 Series;2012;35496.0;3.0;192.0;4.0;Manual;Sedan;red;2794292
BMW;X7;2021;194954.0;1.9;127.3;3.0;Automatic;SUV;red;4516778
BMW;X7;2018;144490.0;3.5;224.0;3.0;Automatic;SUV;red;4427896
BMW;3 Series_M;2010;5000.0;3.1;198.4;4.0;Manual;Sedan;blue;2986558
BMW;X3;2017;125114.0;2.6;171.6;3.0;Manual;SUV;green;3933986
BMW;X7_M;2022;213850.0;3.5;227.5;2.0;Manual;SUV;white;7048688
BMW;X3_M;2016;104816.0;3.2;211.2;4.0;Automatic;SUV;red;5174472
BMW;3 Series_M;2018;148221.0;3.4;227.8;3.0;Automatic;Sedan;blue;4751161
BMW;X7_M;2012;34476.0;;195.3;4.0;Automatic;SUV;green;3954269
BMW;7 Series_M;2014;70765.0;3.0;195.0;4.0;Manual;Sedan;red;3843488
BMW;7 Series;2017;126608.0;3.0;195.0;;Automatic;Sedan;red;3319037
BMW;X7;2011;19021.0;3.3;214.5;4.0;Automatic;SUV;blue;3064759
BMW;7 Series;2013;51558.0;2.5;;4.0;Automatic;Sedan;white;2787897
BMW;3 Series_M;2022;212088.0;3.3;214.5;3.0;Automatic;Sedan;blue;5679800
BMW;5 Series;2022;212504.0;2.6;171.6;2.0;Automatic;Sedan;red;3854176
BMW;X5;2015;85574.0;2.0;130.0;;Automatic;SUV;black;3396479
BMW;5 Series_M;2017;128338.0;3.3;211.2;4.0;Automatic;Sedan;white;4474571
BMW;X7;2014;71024.0;2.3;149.5;4.0;Manual;SUV;green;3292542
BMW;3 Series_M;2018;142919.0;3.5;224.0;4.0;Automatic;Sedan;green;4810097
BMW;7 Series_M;2010;5000.0;3.6;241.2;4.0;Automatic;Sedan;blue;3139246
BMW;X5;2017;122903.0;2.6;174.2;4.0;Automatic;SUV;blue;4047092
BMW;3 Series;2013;54719.0;3.3;217.8;4.0;Manual;Sedan;white;3024466
BMW;X5_M;2016;106943.0;3.2;214.4;4.0;Automatic;SUV;white;5208442
BMW;X5;2013;55930.0;2.3;151.8;4.0;Automatic;SUV;black;3159991
BMW;5 Series;2020;186929.0;3.0;201.0;3.0;Automatic;Sedan;green;3717025
BMW;X5;2015;88982.0;1.8;115.2;;Automatic;SUV;blue;3274623
BMW;X5;2011;17898.0;2.5;167.5;4.0;Automatic;SUV;black;2858435
BMW;5 Series_M;2017;123890.0;3.6;237.6;3.0;Automatic;Sedan;red;4695427
BMW;X3;2010;5000.0;2.8;182.0;4.0;Automatic;SUV;red;2741060
BMW;3 Series_M;2018;147408.0;2.8;179.2;3.0;Automatic;Sedan;blue;4505990
BMW;5 Series;2020;172486.0;2.4;156.0;3.0;Automatic;Sedan;black;3620666
BMW;X5;2010;5000.0;1.6;107.2;4.0;Manual;SUV;white;2284241
BMW;X3;2010;5000.0;2.4;151.2;;Manual;SUV;red;2524806
BMW;X3;2012;36198.0;2.4;160.8;4.0;Automatic;SUV;white;2987972
BMW;X5;2012;37388.0;1.2;80.4;4.0;Automatic;SUV;green;2533605
BMW;3 Series;2017;121073.0;2.1;138.6;;Automatic;Sedan;black;3156244
BMW;X3;2022;223333.0;1.4;89.6;2.0;Manual;SUV;white;4388888
BMW;5 Series_M;2012;36143.0;3.5;220.5;4.0;Manual;Sedan;green;3525981
BMW;3 Series_M;2014;71448.0;3.1;204.6;4.0;Automatic;Sedan;blue;3836670
BMW;X3;2014;68660.0;3.4;214.2;4.0;Automatic;SUV;black;3665636
BMW;X3_M;2011;17835.0;3.3;214.5;4.0;Automatic;SUV;red;3796907
BMW;5 Series_M;2021;196047.0;3.4;217.6;3.0;Automatic;Sedan;red;5475623
BMW;7 Series;2010;5000.0;1.6;102.4;4.0;Automatic;Sedan;green;1967752
BMW;X3_M;2019;163337.0;3.4;224.4;3.0;Manual;SUV;white;6156055
BMW;3 Series_M;2018;145633.0;3.0;192.0;3.0;Automatic;Sedan;white;4662081
BMW;7 Series_M;2014;70202.0;3.1;198.4;4.0;Automatic;Sedan;white;3908503
BMW;5 Series_M;2016;111558.0;;214.2;4.0;Automatic;Sedan;blue;4299817
BMW;7 Series_M;2020;178874.0;3.5;231.0;3.0;Automatic;Sedan;green;5247306
BMW;X3;2017;126333.0;2.6;166.4;3.0;Manual;SUV;black;3965148
BMW;7 Series;2013;53991.0;2.2;143.0;4.0;Manual;Sedan;blue;2616394
BMW;5 Series_M;2018;144719.0;3.2;204.8;3.0;Automatic;Sedan;blue;4744369
BMW;X3;2012;;2.8;176.4;4.0;Automatic;SUV;blue;3063591
BMW;7 Series;2014;69361.0;2.4;158.4;4.0;Automatic;Sedan;white;2796728
BMW;X3;2014;73667.0;2.7;170.1;4.0;Automatic;SUV;green;3435284
BMW;X7;2022;214137.0;2.6;166.4;3.0;Automatic;SUV;blue;4824812
BMW;7 Series_M;2019;158701.0;3.2;214.4;3.0;Manual;Sedan;blue;5039549
BMW;X3;2022;222774.0;2.5;162.5;2.0;Automatic;SUV;blue;4722610
BMW;X5;2012;35144.0;3.9;245.7;4.0;Automatic;SUV;blue;3428043
BMW;X3;2017;131064.0;2.6;171.6;3.0;Automatic;SUV;white;3963583
BMW;X7_M;2011;18356.0;3.3;211.2;4.0;Manual;SUV;white;3712811
BMW;5 Series_M;2021;203059.0;3.4;214.2;2.0;Automatic;Sedan;black;5348482
BMW;3 Series;2010;5000.0;2.1;140.7;4.0;Automatic;Sedan;white;2178413
BMW;3 Series;2014;71930.0;2.6;163.8;4.0;Automatic;Sedan;black;2876391
BMW;X3_M;2014;73968.0;3.3;214.5;4.0;Automatic;SUV;white;4590577
BMW;X7;2016;108499.0;2.7;172.8;;Automatic;SUV;blue;3777167
BMW;5 Series;2018;141507.0;2.2;143.0;;Automatic;Sedan;white;3275342
BMW;X7;2012;36631.0;3.7;233.1;4.0;Automatic;SUV;red;3368615
BMW;7 Series;2015;93445.0;2.8;182.0;4.0;Automatic;Sedan;white;3016251
BMW;X5_M;2018;138024.0;3.2;204.8;3.0;Automatic;SUV;black;5830561
BMW;X7;2017;126438.0;2.6;166.4;4.0;Automatic;SUV;green;3923362
BMW;X3_M;2011;17741.0;3.3;221.1;4.0;Manual;SUV;white;3761606
BMW;X3_M;2012;;3.1;201.5;4.0;Automatic;SUV;green;4021886
BMW;3 Series;2020;182028.0;2.9;191.4;2.0;Manual;Sedan;blue;3671012
BMW;X5_M;2015;90487.0;3.3;217.8;4.0;Automatic;SUV;blue;4929268
BMW;X5_M;2014;70620.0;3.4;217.6;4.0;Automatic;SUV;white;4669732
BMW;X3;2011;18408.0;1.8;118.8;4.0;Automatic;SUV;blue;2587886
BMW;X5;2022;214153.0;2.6;171.6;3.0;Manual;SUV;blue;4925742
BMW;X7_M;2014;71107.0;3.3;217.8;4.0;Manual;SUV;red;4686325
BMW;7 Series_M;2010;5000.0;3.7;236.8;4.0;Manual;Sedan;white;3135083
BMW;3 Series;2015;92841.0;2.3;149.5;4.0;Automatic;Sedan;blue;2859659
BMW;3 Series_M;2010;5000.0;3.3;211.2;4.0;Manual;Sedan;black;3032545
BMW;X5_M;2012;36650.0;3.3;214.5;4.0;Automatic;SUV;green;4051331
BMW;5 Series_M;2012;34883.0;3.1;195.3;4.0;Manual;Sedan;green;3371650
BMW;X7;2017;129326.0;2.3;144.9;4.0;Automatic;SUV;red;3768803
BMW;5 Series_M;2017;127994.0;3.4;214.2;4.0;Manual;Sedan;black;4550848
BMW;X5;2021;207009.0;3.3;221.1;3.0;Automatic;SUV;red;4876865
BMW;7 Series_M;2015;92226.0;3.0;198.0;4.0;Automatic;Sedan;red;4063448
BMW;5 Series;2011;19236.0;2.3;154.1;4.0;Automatic;Sedan;red;2415828
BMW;7 Series_M;2018;143903.0;3.2;211.2;4.0;Manual;Sedan;red;4740469
BMW;3 Series_M;2010;5000.0;3.3;217.8;4.0;Manual;Sedan;red;3011368
BMW;3 Series;2022;214925.0;2.1;132.3;3.0;Automatic;Sedan;blue;3702643
BMW;5 Series;2019;168297.0;;192.0;4.0;Automatic;Sedan;red;3513045
BMW;X7_M;2017;126511.0;3.4;217.6;4.0;Automatic;SUV;green;5481716
BMW;3 Series_M;2015;89505.0;3.6;237.6;4.0;Manual;Sedan;green;4310031
BMW;7 Series_M;2021;194417.0;3.2;204.8;2.0;Automatic;Sedan;black;5365720
BMW;X5;2022;219712.0;3.1;207.7;2.0;Manual;SUV;blue;5049097
BMW;7 Series_M;2014;69744.0;3.4;221.0;4.0;Manual;Sedan;red;3951869
BMW;3 Series;2014;73865.0;2.9;191.4;;Automatic;Sedan;black;2952313
BMW;X5;2011;18112.0;3.0;198.0;4.0;Manual;SUV;black;3010465
BMW;5 Series;2013;51550.0;2.2;140.8;4.0;Manual;Sedan;black;2669152
BMW;5 Series;2017;124286.0;2.8;182.0;4.0;Automatic;Sedan;blue;3296419
BMW;5 Series;2016;105888.0;2.4;158.4;4.0;Manual;Sedan;white;3127179
BMW;3 Series_M;2011;18134.0;3.2;201.6;4.0;Automatic;Sedan;green;3248309
BMW;5 Series_M;2010;5000.0;3.4;227.8;4.0;Manual;Sedan;green;3109233
BMW;X3_M;2021;196574.0;3.5;224.0;3.0;Automatic;SUV;red;6685759
BMW;7 Series_M;2013;56106.0;3.0;189.0;4.0;Automatic;Sedan;red;3606264
BMW;X5;2021;204021.0;2.4;151.2;3.0;Manual;SUV;black;4523898
BMW;5 Series;2018;146910.0;2.5;160.0;3.0;Automatic;Sedan;white;3231958
BMW;X5_M;2014;72381.0;3.1;207.7;4.0;Manual;SUV;green;4573747
BMW;5 Series;2018;147665.0;2.7;175.5;3.0;Manual;Sedan;blue;3311420
BMW;7 Series_M;2013;52900.0;3.4;224.4;4.0;Manual;Sedan;white;3754196
BMW;3 Series;2016;107845.0;2.6;166.4;4.0;Automatic;Sedan;blue;3136590
BMW;X7_M;2020;180987.0;3.4;214.2;2.0;Automatic;SUV;white;6378264
BMW;X7;2019;157544.0;2.3;154.1;4.0;Manual;SUV;red;4236764
BMW;X7;2022;218043.0;3.2;201.6;2.0;Manual;SUV;black;4990735
BMW;7 Series_M;2011;18360.0;3.4;221.0;4.0;Automatic;Sedan;red;3283112
BMW;3 Series;2021;204443.0;3.5;234.5;2.0;Automatic;Sedan;red;4031430
BMW;7 Series;2021;198229.0;2.4;151.2;3.0;Automatic;Sedan;blue;3631943
BMW;7 Series;2014;72118.0;3.1;195.3;4.0;Automatic;Sedan;blue;3032052
BMW;X7_M;2014;74890.0;2.9;182.7;4.0;Automatic;SUV;blue;4458370
BMW;X5_M;2020;178736.0;3.4;224.4;2.0;Automatic;SUV;white;6418019
BMW;7 Series_M;2012;35966.0;3.1;207.7;4.0;Automatic;Sedan;green;3513493
BMW;X7_M;2012;35171.0;3.3;221.1;4.0;Automatic;SUV;white;4090766
BMW;X3_M;2018;139765.0;3.3;217.8;;Manual;SUV;red;5863938
BMW;X3_M;2017;125931.0;3.4;217.6;3.0;Automatic;SUV;white;5484365
BMW;X5_M;2022;223236.0;3.4;217.6;3.0;Automatic;SUV;red;6881889
BMW;X5;2019;165328.0;2.4;153.6;4.0;Automatic;SUV;black;4186804
BMW;X5;2012;36435.0;2.9;185.6;4.0;Manual;SUV;blue;3173221
BMW;X3;2011;17776.0;2.2;138.6;4.0;Automatic;SUV;white;2686254
BMW;7 Series_M;2014;74449.0;3.6;226.8;4.0;Automatic;Sedan;white;3996206
BMW;X7;2018;140785.0;3.3;221.1;4.0;Automatic;SUV;green;4491682
BMW;7 Series;2013;54853.0;3.3;217.8;4.0;Automatic;Sedan;white;2968793
BMW;3 Series_M;2012;34312.0;3.0;189.0;4.0;Automatic;Sedan;black;3414120
BMW;X7_M;2014;72392.0;3.2;204.8;4.0;Automatic;SUV;black;4599874
BMW;X3_M;2012;34500.0;3.0;201.0;4.0;Automatic;SUV;black;3999363
BMW;3 Series_M;2014;73077.0;3.1;198.4;4.0;Manual;Sedan;red;3871963
BMW;3 Series;2021;197889.0;2.7;178.2;3.0;Manual;Sedan;white;3772032
BMW;X5;2017;130245.0;2.6;171.6;3.0;Manual;SUV;red;3933823
BMW;X7_M;2015;89272.0;3.2;214.4;4.0;Automatic;SUV;green;4908865
BMW;X7;2010;5000.0;1.7;107.1;4.0;Automatic;SUV;green;2334477
BMW;7 Series_M;2021;195883.0;3.4;221.0;2.0;Automatic;Sedan;white;5429339
BMW;X5;2019;163203.0;2.7;175.5;4.0;Manual;SUV;red;4329931
BMW;7 Series;2011;17782.0;;147.4;4.0;Automatic;Sedan;blue;2402075
BMW;5 Series;2018;136123.0;2.4;151.2;3.0;Automatic;Sedan;white;3384015
BMW;7 Series;2012;34934.0;2.3;151.8;4.0;Manual;Sedan;red;2523007
BMW;X7_M;2021;197612.0;3.4;224.4;2.0;Automatic;SUV;blue;6680059
BMW;X7_M;2015;85858.0;3.6;241.2;4.0;Manual;SUV;blue;5092333
BMW;5 Series;2020;183229.0;3.2;201.6;2.0;Automatic;Sedan;red;3749184
BMW;5 Series_M;2018;141163.0;3.5;227.5;3.0;Automatic;Sedan;red;4839161
BMW;3 Series_M;2016;105800.0;3.2;211.2;4.0;Automatic;Sedan;black;4400723
BMW;5 Series_M;2013;56571.0;3.1;198.4;;Automatic;Sedan;white;3585005
BMW;7 Series_M;2014;71940.0;;221.1;4.0;Automatic;Sedan;white;3985394
BMW;X3;2019;164058.0;1.9;121.6;3.0;Manual;SUV;white;4085773
BMW;5 Series_M;2011;17306.0;3.1;207.7;4.0;Automatic;Sedan;blue;3246740
BMW;5 Series;2013;55098.0;1.9;125.4;4.0;Automatic;Sedan;white;2490055
BMW;5 Series_M;2019;158989.0;3.5;224.0;3.0;Automatic;Sedan;white;5013741
BMW;X3_M;2011;19078.0;3.2;201.6;4.0;Automatic;SUV;red;3728009
BMW;X7_M;2016;104426.0;3.3;207.9;4.0;Automatic;SUV;white;5181854
BMW;X5;2018;147172.0;3.1;207.7;3.0;Manual;SUV;white;4335596
BMW;5 Series_M;2017;121285.0;3.1;204.6;3.0;Automatic;Sedan;green;4566177
BMW;X3_M;2014;74510.0;3.3;214.5;4.0;Manual;SUV;black;4597933
BMW;X5;2017;121023.0;3.3;207.9;4.0;Manual;SUV;black;4216249
BMW;X7;2018;141666.0;2.5;157.5;4.0;Automatic;SUV;black;4136507
BMW;X5;2011;18727.0;3.4;221.0;4.0;Automatic;SUV;black;3156433
BMW;X5_M;2019;164505.0;3.3;211.2;3.0;Manual;SUV;green;6049069
BMW;X3_M;2018;141954.0;3.1;;4.0;Manual;SUV;green;5792931
BMW;X5;2014;73720.0;2.2;138.6;4.0;Automatic;SUV;red;3227443
BMW;5 Series_M;2022;218234.0;3.6;230.4;2.0;Automatic;Sedan;green;5716123
BMW;7 Series_M;2021;200198.0;3.2;201.6;2.0;Automatic;Sedan;green;5351618
BMW;7 Series_M;2020;184017.0;3.5;231.0;2.0;Manual;Sedan;white;5268816
BMW;X7;2014;71723.0;1.9;125.4;4.0;Automatic;SUV;white;3192917
BMW;3 Series;2013;53686.0;2.1;136.5;4.0;Automatic;Sedan;blue;2605696
BMW;X3;2020;177426.0;1.9;127.3;2.0;Automatic;SUV;blue;4335139
BMW;X3_M;2015;92067.0;3.5;224.0;4.0;Automatic;SUV;green;4989152
BMW;X3_M;2013;56345.0;3.0;201.0;4.0;Automatic;SUV;white;4219255
BMW;7 Series_M;2017;124621.0;3.2;214.4;3.0;Manual;Sedan;black;4547556
BMW;7 Series;2017;125230.0;2.3;154.1;4.0;Automatic;Sedan;blue;3125205
BMW;7 Series;2021;197961.0;3.2;204.8;3.0;Manual;Sedan;white;3908205
BMW;X3_M;2015;91383.0;3.2;211.2;4.0;Automatic;SUV;red;4931117
BMW;5 Series;2013;55159.0;2.9;;4.0;Automatic;Sedan;black;2829702
BMW;X5_M;2015;90759.0;3.0;198.0;4.0;Automatic;SUV;green;4826630
BMW;7 Series_M;2022;218572.0;3.3;207.9;2.0;Automatic;Sedan;green;5583149
BMW;7 Series;2014;71262.0;2.7;172.8;4.0;Automatic;Sedan;white;2880659
BMW;7 Series_M;2019;162925.0;3.2;211.2;4.0;Automatic;Sedan;red;4903589
BMW;7 Series_M;2018;145419.0;3.1;204.6;4.0;Automatic;Sedan;red;4717965
BMW;5 Series_M;2017;125649.0;3.3;217.8;;Manual;Sedan;black;4563252
BMW;7 Series_M;2019;159839.0;3.4;217.6;3.0;Automatic;Sedan;green;5026673
BMW;5 Series;2019;153234.0;2.9;191.4;4.0;Automatic;Sedan;blue;3730458
BMW;3 Series_M;2017;128458.0;3.3;214.5;4.0;Automatic;Sedan;red;4506589
BMW;X3_M;2014;73588.0;3.0;201.0;4.0;Manual;SUV;green;4518048
BMW;X7;2014;68769.0;3.1;201.5;4.0;Manual;SUV;black;3601110
BMW;X7;2016;109409.0;3.5;224.0;4.0;Manual;SUV;black;4013431
BMW;X5_M;2018;144957.0;3.6;230.4;4.0;Manual;SUV;blue;5886451
BMW;X3_M;2014;;3.1;195.3;4.0;Automatic;SUV;green;4538053
BMW;X3;2015;92361.0;2.2;147.4;4.0;Automatic;SUV;green;3456167
BMW;3 Series;2016;108385.0;3.0;195.0;4.0;Automatic;Sedan;white;3232083
BMW;X7_M;2020;180430.0;3.4;224.4;3.0;Automatic;SUV;blue;6384818
BMW;X5;2012;36083.0;2.9;182.7;4.0;Automatic;SUV;black;3144836
BMW;X5_M;2011;17936.0;3.1;195.3;4.0;Manual;SUV;black;3678141
BMW;X7;2013;52584.0;1.9;125.4;4.0;Automatic;SUV;blue;3057143
BMW;X7_M;2013;52156.0;3.3;211.2;4.0;Automatic;SUV;green;4360234
BMW;X5_M;2017;134902.0;3.3;211.2;3.0;Manual;SUV;black;5372360
BMW;5 Series_M;2013;52710.0;3.5;227.5;4.0;Automatic;Sedan;white;3793270
BMW;5 Series;2013;52707.0;2.7;180.9;4.0;Automatic;Sedan;red;2808249
BMW;5 Series;2019;162874.0;2.3;151.8;3.0;Automatic;Sedan;black;3375676
BMW;7 Series_M;2012;36276.0;3.4;217.6;4.0;Automatic;Sedan;green;3519545
BMW;X7_M;2019;159943.0;3.2;211.2;4.0;Manual;SUV;green;6048126
BMW;5 Series;2018;140863.0;2.8;184.8;3.0;Automatic;Sedan;red;3498345
BMW;X7_M;2020;177614.0;3.4;227.8;2.0;Manual;SUV;blue;6488829
BMW;X5;2017;124592.0;2.8;182.0;4.0;Manual;SUV;green;4080831
BMW;X3_M;2018;141619.0;3.1;204.6;3.0;Manual;SUV;white;5796622
BMW;3 Series_M;2021;201758.0;3.2;211.2;3.0;Automatic;Sedan;green;5302869
BMW;7 Series_M;2020;172195.0;3.0;189.0;3.0;Automatic;Sedan;green;5157617
BMW;X5_M;2013;53925.0;3.2;208.0;4.0;Automatic;SUV;red;4293268
BMW;7 Series;2012;36738.0;2.8;182.0;4.0;Automatic;Sedan;red;2676985
BMW;X7_M;2016;;3.4;221.0;4.0;Manual;SUV;white;5175105
BMW;3 Series_M;2017;120049.0;3.4;227.8;4.0;Automatic;Sedan;green;4647750
BMW;3 Series_M;2020;184751.0;3.6;226.8;2.0;Automatic;Sedan;white;5229400
BMW;X7_M;2012;36852.0;3.2;201.6;4.0;Automatic;SUV;black;3979980
BMW;7 Series;2021;199458.0;2.8;;2.0;Manual;Sedan;red;3809291
BMW;X3;2017;123710.0;1.6;107.2;3.0;Manual;SUV;black;3627549
BMW;7 Series_M;2017;125728.0;3.4;227.8;3.0;Automatic;Sedan;black;4608523
BMW;3 Series_M;2015;87760.0;3.1;204.6;4.0;Automatic;Sedan;red;4100152
BMW;3 Series;2022;212329.0;2.5;160.0;3.0;Manual;Sedan;red;3805743
BMW;3 Series;2012;36452.0;1.9;119.7;4.0;Automatic;Sedan;white;2393324
BMW;7 Series_M;2010;5000.0;3.2;214.4;4.0;Manual;Sedan;green;3017337
BMW;X7;2017;126746.0;2.1;132.3;4.0;Automatic;SUV;red;3750642
BMW;X5_M;2012;36758.0;3.3;221.1;4.0;Automatic;SUV;green;4090955
BMW;X5;2017;121863.0;2.9;191.4;3.0;Automatic;SUV;black;4130459
BMW;5 Series_M;2017;128837.0;3.4;217.6;3.0;Automatic;Sedan;blue;4521007
BMW;3 Series_M;2010;5000.0;3.2;204.8;4.0;Automatic;Sedan;black;3037239
BMW;3 Series;2021;196763.0;2.2;138.6;2.0;Automatic;Sedan;red;3556006
BMW;5 Series;2012;35901.0;2.5;160.0;4.0;Manual;Sedan;red;2605190
BMW;7 Series;2013;55997.0;2.9;191.4;4.0;Manual;Sedan;blue;2811061
BMW;X7;2021;197293.0;1.6;100.8;2.0;Automatic;SUV;white;4311314
BMW;X7;2016;111143.0;2.3;144.9;4.0;Automatic;SUV;red;3659556
